year,match_num,match_num_t,time_1,time_2,time_3,time_4,time_5,time_6,time_7,time_8,time_9,time_10,time_11,time_12,time_13,time_14,time_15,time_16,time_17,time_18,time_19,time_20,W_L,H_A
1992,1,1,[],[],[],[],[],['28'],['28'],"['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']","['28', '39']",L,H
1992,1,1,[],[],[],[],[],[],[],[],[],[],[],[],[],[],['69'],"['69', '73']","['69', '73']","['69', '73', '82', '84']","['69', '73', '82', '84']","['69', '73', '82', '84']",W,A
1992,2,2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['84'],['84'],['84'],D,H
1992,2,2,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['86'],['86'],D,A
1992,3,3,[],['09'],['09'],['09'],['09'],['09'],['09'],['09'],['09'],['09'],['09'],"['09', '51']","['09', '51']","['09', '51']","['09', '51']","['09', '51']","['09', '51']","['09', '51']","['09', '51']","['09', '51']",W,H
1992,3,3,[],[],[],[],[],[],[],[],[],[],[],[],[],['63'],['63'],['63'],['63'],['63'],['63'],['63'],L,A
1992,4,4,[],[],[],[],[],[],[],['37'],['37'],['37'],['37'],['37'],['37'],"['37', '63']","['37', '63']","['37', '63']","['37', '63']","['37', '63']","['37', '63', '90']","['37', '63', '90']",D,H
1992,4,4,[],[],[],[],[],[],[],[],['42'],['42'],['42'],['42'],['42'],['42'],"['42', '66']","['42', '66']","['42', '66']","['42', '66', '81']","['42', '66', '81']","['42', '66', '81']",D,A
1992,5,5,[],[],[],[],[],[],[],[],['44'],['44'],['44'],['44'],['44'],['44'],['44'],['44'],['44'],['44'],['44'],['44'],D,H
1992,5,5,[],[],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],['15'],D,A
1992,6,6,[],[],[],[],[],[],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],['31'],D,H
1992,6,6,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['84'],['84'],['84'],D,A
1992,7,7,[],[],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],['14'],"['14', '86']","['14', '86']",W,H
1992,7,7,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],['76'],['76'],['76'],['76'],L,A
1992,8,8,['05'],['05'],['05'],['05'],['05'],['05'],['05'],['05'],['05'],['05'],"['05', '50']","['05', '50']","['05', '50']","['05', '50']","['05', '50']","['05', '50']","['05', '50']","['05', '50']","['05', '50']","['05', '50']",W,H
1992,8,8,[],[],[],[],[],[],[],[],[],[],[],[],[],['61'],['61'],['61'],['61'],['61'],['61'],['61'],L,A
1992,9,9,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,H
1992,9,9,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],D,A
1992,10,10,[],[],[],[],[],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],['29'],W,H
1992,10,10,[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],[],L,A
1992,11,11,[],[],[],[],[],[],[],['37'],['37'],['37'],['37'],['37'],['37'],['37'],['37'],['37'],['37'],['37'],['37'],['37'],D,H
1992,11,11,[],[],[],[],[],[],[],[],[],[],['47'],['47'],['47'],['47'],['47'],['47'],['47'],['47'],['47'],['47'],D,A
