year,match_num,match_num_t,score_time_1,1_team_order,1_total_order,score_time_2,2_team_order,2_total_order,score_time_3,3_team_order,3_total_order,score_time_4,4_team_order,4_total_order,score_time_5,5_team_order,5_total_order,score_time_6,6_team_order,6_total_order,score_time_7,7_team_order,7_total_order,score_time_8,8_team_order,8_total_order,score_time_9,9_team_order,9_total_order,score_time_10,10_team_order,10_total_order,score_time_11,11_team_order,11_total_order,score_time_12,12_team_order,12_total_order,score_time_13,13_team_order,13_total_order,score_time_14,14_team_order,14_total_order,score_time_15,15_team_order,15_total_order,W_L,H_A
1992.0,1.0,1.0,28.0,1.0,1.0,39.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,H
1992.0,1.0,1.0,69.0,1.0,3.0,73.0,2.0,4.0,82.0,3.0,5.0,84.0,4.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,A
1992.0,2.0,2.0,84.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,H
1992.0,2.0,2.0,86.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A
1992.0,3.0,3.0,9.0,1.0,1.0,51.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H
1992.0,3.0,3.0,63.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A
1992.0,4.0,4.0,37.0,1.0,1.0,63.0,2.0,3.0,90.0,3.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,H
1992.0,4.0,4.0,42.0,1.0,2.0,66.0,2.0,4.0,81.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A
1992.0,5.0,5.0,44.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,H
1992.0,5.0,5.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A
1992.0,6.0,6.0,31.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,H
1992.0,6.0,6.0,84.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A
1992.0,7.0,7.0,14.0,1.0,1.0,86.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H
1992.0,7.0,7.0,76.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A
1992.0,8.0,8.0,5.0,1.0,1.0,50.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H
1992.0,8.0,8.0,61.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A
1992.0,10.0,10.0,29.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A
1992.0,11.0,11.0,37.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,H
1992.0,11.0,11.0,47.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A
1992.0,12.0,12.0,84.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,H
1992.0,13.0,13.0,37.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,A
1992.0,14.0,14.0,77.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,H
1992.0,14.0,14.0,84.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A
1992.0,15.0,15.0,43.0,1.0,2.0,65.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H
1992.0,15.0,15.0,35.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,H
1992.0,16.0,16.0,45.0,1.0,1.0,80.0,2.0,2.0,90.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,A
1992.0,17.0,17.0,15.0,1.0,1.0,17.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A
1992.0,18.0,18.0,57.0,1.0,2.0,59.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H
1992.0,18.0,18.0,15.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A
1992.0,19.0,19.0,16.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,H
1992.0,19.0,19.0,50.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,D,A
1992.0,20.0,20.0,58.0,1.0,2.0,70.0,2.0,3.0,86.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W,H
1992.0,20.0,20.0,31.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,L,A
