Matthew Le Tissier,"[70.241, 100]"
Ian Wright,"[79.22300000000001, 113]"
Dion Dublin,"[86.56000000000003, 111]"
Ryan Giggs,"[70.30500000000002, 109]"
Paul Scholes,"[68.78999999999998, 106]"
Emile Heskey,"[77.696, 110]"
Peter Crouch,"[78.25199999999998, 108]"
Darren Bent,"[75.35400000000003, 106]"
Cristiano Ronaldo,"[65.82500000000002, 103]"
Didier Drogba,"[67.36399999999998, 104]"
Raheem Sterling,"[62.27800000000001, 115]"
Sadio Mané,"[74.79799999999999, 111]"
Son Heung-Min,"[60.27700000000002, 103]"
