Ruel Fox,"[28.46099999999999, 36, [1.575, 0.956, 0.81, 1.079, 0.673, 0.02, 0.917, 0.842, 1.129, 0.693, 1.441, 0.0, 0.747, 1.003, 0.414, 0.677, 0.723, 0.225, 0.81, 1.422, 1.002, 0.741, 0.692, 0.716, 1.654, 0.677, 0.615, 1.078, 0.397, 0.679, 1.392, 0.868, 0.0, 0.181, 0.842, 0.771], [1.2, 27.1, 334.1, 348.2, 489.2, 489.2, 565.1, 574.2, 622.1, 653.2, 748.2, 799.1, 884.1, 972.1, 987.2, 1108.2, 1108.2, 1162.2, 1200.1, 1204.1, 1222.1, 1245.2, 1381.1, 1499.2, 1563.2, 1619.2, 1689.2, 1704.1, 1704.1, 1860.2, 2181.1, 2380.2, 2387.2, 2534.2, 2582.2, 2681.1]]"
Graham Stuart,"[31.217, 45, [0.741, 0.764, 1.268, 0.463, 0.04, 1.697, 0.858, 0.673, 0.04, 1.106, 0.522, 1.609, 0.763, 0.917, 0.522, 0.697, 0.763, 0.747, 0.81, 0.441, 0.083, 0.868, 0.86, 0.677, 0.378, 0.697, 0.917, 0.697, 0.763, 1.646, 0.677, 1.357, 0.747, 0.0, 0.004, 0.714, 0.757, 0.461, 0.031, 0.67, 0.897, 0.067, 0.93, 0.186, 0.692], [18.2, 30.2, 135.2, 158.1, 242.1, 329.1, 344.1, 357.2, 382.1, 787.1, 917.1, 917.1, 929.1, 1206.1, 1299.1, 1485.1, 1505.1, 1523.1, 1555.1, 1579.1, 1579.1, 1611.2, 1631.2, 1686.2, 1841.1, 1849.1, 1885.1, 1888.1, 1960.1, 2166.1, 2196.2, 2838.2, 2849.1, 2865.2, 3287.1, 3306.2, 3353.2, 3396.1, 3488.2, 3812.1, 3859.2, 3894.1, 4454.2, 4575.1, 4603.1]]"
David Hirst,"[28.155000000000005, 43, [0.747, 0.265, 0.771, 0.463, 0.23, 0.97, 0.67, 0.553, 0.108, 0.93, 1.019, 0.265, 0.2, 0.917, 1.843, 0.919, 0.692, 0.697, 0.4, 0.608, 0.02, 0.0, 0.756, 1.048, 0.353, 0.107, 0.06, 0.843, 0.406, 0.957, 0.262, 0.71, 0.817, 0.706, 0.943, 1.392, 0.158, 0.797, 0.757, 1.845, 0.265, 1.079, 0.607], [21.1, 21.1, 30.1, 30.1, 44.2, 164.2, 229.1, 237.2, 258.2, 345.2, 445.1, 546.1, 932.1, 1016.1, 1032.2, 1425.2, 1445.1, 1514.1, 1519.2, 1545.1, 1561.1, 1561.1, 1572.1, 1572.1, 1596.1, 1596.1, 1683.1, 1749.1, 1979.1, 2015.2, 2023.2, 2023.2, 2052.1, 2073.1, 2258.1, 2258.1, 2278.1, 2299.1, 2391.2, 2391.2, 2407.1, 2418.2, 2480.2]]"
Rod Wallace,"[31.182, 45, [0.747, 0.741, 0.004, 0.144, 0.4, 0.055, 0.919, 0.816, 0.647, 0.764, 0.396, 0.083, 1.079, 0.06, 0.697, 1.654, 0.892, 0.771, 1.059, 0.676, 1.207, 0.06, 1.004, 0.155, 0.993, 1.589, 0.125, 0.083, 0.0, 1.002, 0.06, 0.757, 0.757, 0.1, 0.673, 2.0, 0.615, 0.816, 0.245, 0.957, 0.757, 1.654, 1.288, 0.764, 0.917], [38.1, 369.2, 399.1, 415.2, 452.2, 452.2, 452.2, 554.2, 554.2, 602.2, 609.1, 609.1, 630.2, 641.1, 652.1, 667.2, 678.2, 805.1, 809.1, 854.2, 878.1, 878.1, 908.1, 921.2, 1015.2, 1053.2, 1053.2, 1280.1, 1561.2, 1850.1, 1850.1, 2073.2, 2162.2, 2162.2, 2201.2, 2201.2, 2221.2, 2269.2, 2275.1, 2293.2, 2379.2, 2409.2, 3714.2, 3809.2, 3937.1]]"
Paul Merson,"[36.058, 46, [0.479, 0.692, 0.673, 1.482, 0.866, 1.843, 0.378, 0.917, 1.145, 1.422, 0.979, 1.002, 0.868, 1.059, 0.842, -0.002, 0.81, 0.964, 1.002, 0.368, 0.01, 0.757, 0.491, 0.218, 1.192, 0.917, 1.377, 0.059, 0.917, 0.697, 0.385, 0.018, 0.262, 0.956, 0.378, 0.083, 0.93, 1.048, 0.463, 0.441, 1.868, 0.763, 0.581, 1.845, 0.842, 0.771], [44.1, 110.1, 154.2, 252.2, 359.1, 398.2, 497.1, 551.1, 770.2, 777.1, 819.1, 821.1, 895.2, 1216.1, 1236.2, 1295.1, 1325.1, 1470.2, 1477.1, 1576.1, 1576.1, 1605.2, 1798.1, 1807.2, 1882.2, 1918.1, 1956.1, 1990.1, 2566.1, 2587.1, 2651.2, 2746.1, 2751.2, 3074.1, 3134.1, 3134.1, 3157.2, 3241.1, 3356.1, 3387.1, 3404.2, 3522.1, 3588.2, 3644.1, 3818.2, 3917.1]]"
Gary McAllister,"[35.398, 49, [0.692, 1.207, 0.002, 0.756, 0.747, 0.67, 0.461, 0.01, 0.374, 0.763, 0.06, 0.673, 1.422, 0.741, 0.81, 0.97, 0.641, 0.842, 1.004, 0.8, 1.022, 0.065, 0.692, 0.012, 0.741, 0.892, 0.468, 0.666, 0.368, 0.936, 1.079, 0.816, 0.952, 0.993, 0.67, 0.581, 0.018, 0.673, 0.692, 1.129, 1.887, 0.816, 0.858, 0.059, 0.697, 1.988, 1.377, 0.108, 0.498], [49.1, 104.1, 169.1, 222.2, 302.1, 544.1, 563.1, 563.1, 586.1, 683.1, 771.1, 784.2, 898.1, 1000.2, 1044.1, 1203.2, 1266.2, 1336.2, 1365.1, 1489.1, 1489.1, 1489.1, 1575.1, 1728.2, 1786.2, 1885.2, 1935.1, 1949.2, 1958.1, 2123.1, 2682.2, 2829.2, 2850.1, 2932.2, 2965.1, 2995.2, 3031.1, 3035.2, 3083.1, 3115.1, 3186.1, 3225.2, 3267.1, 3267.1, 3415.1, 3616.2, 3630.1, 3631.2, 3641.2]]"
Dennis Wise,"[26.12399999999999, 34, [0.535, 0.92, 0.917, 1.482, 0.0, 0.92, 0.763, 0.225, 0.293, 0.93, 1.422, 0.93, 1.004, 0.692, 0.93, 1.357, 1.079, 0.716, 0.777, 0.81, 0.919, 0.8, 0.741, -0.271, 1.528, 0.004, 0.868, 0.81, 1.025, 0.771, 0.218, 1.08, 0.816, 0.113], [60.2, 110.2, 407.1, 478.2, 717.2, 867.2, 892.1, 948.2, 962.1, 1023.2, 1043.1, 1052.2, 1218.1, 1419.1, 1435.2, 1467.2, 1541.2, 1653.2, 1653.2, 1758.1, 1798.2, 1983.1, 2140.2, 2185.1, 2292.1, 2427.1, 2927.2, 3101.1, 3114.1, 3177.1, 3402.2, 3512.1, 3662.2, 3750.1]]"
Peter Ndlovu,"[21.896000000000004, 35, [0.964, 0.8, 0.789, 1.465, 0.465, 1.288, 0.321, 0.936, 0.246, 0.0, 0.864, 0.897, 0.0, 0.365, 0.498, 1.207, 0.763, 0.93, 0.957, 0.716, 0.763, 0.108, 0.842, 0.653, 0.323, 0.06, 0.8, 0.93, 0.553, 0.71, 0.23, 0.004, 1.079, 0.108, 0.262], [63.2, 101.1, 123.2, 146.2, 262.1, 287.2, 452.1, 480.1, 499.2, 590.2, 629.2, 692.2, 769.1, 842.1, 851.2, 860.1, 869.1, 911.2, 1072.2, 1152.2, 1226.1, 1235.1, 1272.2, 1272.2, 1272.2, 1327.1, 1353.1, 1373.2, 1373.2, 1419.2, 1449.2, 1548.1, 1751.2, 1751.2, 2111.2]]"
Dean Saunders,"[33.48699999999999, 45, [0.771, 0.817, 0.348, 0.842, 0.414, 0.673, 0.641, 0.917, 0.917, 1.192, 0.02, 0.378, 0.441, 0.936, 1.106, 0.716, 0.86, 1.078, 1.135, 0.93, 0.81, 0.059, 0.0, 0.255, 0.91, 0.81, 0.176, 0.953, 0.762, 0.607, 1.727, 0.764, 1.268, 0.747, 0.0, 0.0, 0.897, 0.676, 0.692, 0.679, 0.67, 0.816, 1.868, 1.129, 1.08], [67.1, 88.1, 88.1, 107.2, 107.2, 119.2, 119.2, 153.1, 230.1, 247.2, 260.1, 267.1, 284.1, 423.1, 464.1, 543.2, 558.2, 663.1, 706.2, 739.2, 759.1, 759.1, 759.1, 904.2, 929.2, 940.1, 968.1, 1024.1, 1075.2, 1075.2, 1084.2, 1161.2, 1189.2, 1196.1, 1217.1, 1217.1, 1227.2, 1227.2, 1229.1, 1804.2, 1861.1, 2035.2, 2911.2, 3075.1, 3135.1]]"
Jamie Redknapp,"[24.326, 33, [1.862, 0.046, 1.106, 1.056, 0.031, 1.197, 0.816, 0.763, 1.862, 0.697, 0.414, 0.486, 0.0, 0.97, 0.058, 1.422, 0.176, 0.406, 1.025, 0.18, 0.642, 0.741, 0.653, 0.454, 0.327, 1.022, 0.332, 1.862, 0.741, 0.771, 1.843, 0.0, 0.365], [67.1, 213.2, 647.1, 686.2, 732.2, 859.2, 1159.2, 1286.1, 1379.1, 1441.1, 1486.2, 1490.1, 2016.1, 2144.2, 2276.1, 2360.1, 2360.1, 2562.1, 2605.1, 2638.1, 2712.2, 2837.2, 2863.2, 2875.1, 2884.1, 3033.1, 3036.1, 3201.1, 3761.2, 4064.1, 4131.2, 4411.2, 4486.1]]"
