Mark Bright,"[28.893, 50]"
Brian Deane,"[53.89800000000001, 71]"
Mark Hughes,"[40.308000000000014, 64]"
Peter Beardsley,"[40.944999999999986, 58]"
Eric Cantona,"[41.72100000000001, 70]"
Dean Holdsworth,"[41.51200000000001, 63]"
Niall Quinn,"[47.157000000000004, 59]"
Kevin Gallacher,"[37.653999999999996, 56]"
Chris Armstrong,"[52.90299999999999, 71]"
Tony Cottee,"[52.636, 78]"
Alan Smith,"[35.797, 53]"
Nick Barmby,"[35.454, 53]"
Efan Ekoku,"[33.683000000000014, 52]"
Trevor Sinclair,"[39.99, 52]"
Stan Collymore,"[45.586, 62]"
Duncan Ferguson,"[48.54699999999998, 68]"
John Hartson,"[34.39999999999999, 55]"
David Beckham,"[40.801, 62]"
Jason Euell,"[38.11500000000001, 56]"
Lee Bowyer,"[41.806, 57]"
Gianfranco Zola,"[38.018, 59]"
Paulo Wanchope,"[35.33999999999999, 50]"
Paolo Di Canio,"[47.800000000000004, 66]"
Gustavo Poyet,"[36.084, 52]"
Harry Kewell,"[35.498999999999995, 57]"
Damien Duff,"[34.009, 54]"
Kanu,"[32.341, 54]"
Gareth Barry,"[36.42999999999999, 53]"
Danny Murphy,"[39.55000000000002, 50]"
Eidur Gudjohnsen,"[31.97800000000001, 55]"
Robert Pirès,"[42.63399999999999, 62]"
Darius Vassell,"[36.464000000000006, 52]"
Kevin Nolan,"[52.444999999999986, 69]"
Carlton Cole,"[34.589, 52]"
James Milner,"[37.210999999999984, 55]"
Andrew Johnson,"[35.467000000000006, 51]"
Cesc Fàbregas,"[34.771, 50]"
Tim Cahill,"[41.99200000000001, 56]"
Gabriel Agbonlahor,"[51.202, 74]"
Dirk Kuijt,"[34.94000000000001, 51]"
Shane Long,"[38.64800000000002, 56]"
Clint Dempsey,"[37.99399999999999, 57]"
Gareth Bale,"[36.564, 53]"
Daniel Sturridge,"[42.73800000000001, 76]"
Danny Welbeck,"[40.38000000000001, 62]"
Andy Carroll,"[39.29699999999998, 54]"
Steven Fletcher,"[32.742000000000004, 53]"
Yaya Touré,"[38.414, 62]"
Chicharito,"[38.64200000000001, 53]"
David Silva,"[30.948000000000004, 60]"
Luis Suárez,"[31.532, 69]"
Edin Dzeko,"[35.129, 50]"
Juan Mata,"[38.756, 52]"
Gylfi Sigurdsson,"[50.788, 67]"
Christian Eriksen,"[40.89499999999999, 53]"
Chris Wood,"[42.548, 55]"
Diego Costa,"[37.03999999999999, 53]"
Wilfried Zaha,"[54.87799999999999, 68]"
Alexis Sánchez,"[40.29299999999999, 63]"
Danny Ings,"[49.60600000000001, 70]"
Dele Alli,"[34.1, 51]"
Callum Wilson,"[52.49599999999999, 79]"
Anthony Martial,"[37.56499999999999, 62]"
Kevin De Bruyne,"[36.696000000000005, 64]"
Joshua King,"[38.464, 53]"
Michail Antonio,"[39.42, 61]"
Marcus Rashford,"[53.008, 76]"
Gabriel Jesus,"[40.593999999999994, 69]"
Alexandre Lacazette,"[32.936, 54]"
Pierre-Emerick Aubameyang,"[46.54600000000001, 69]"
