name,p/g_goal
Alan Shearer,"[169.36300000000008, 260]"
Wayne Rooney,"[135.6820000000001, 208]"
Sergio Agüero,"[101.79600000000013, 184]"
Harry Kane,"[137.56200000000007, 213]"
Andrew Cole,"[114.39500000000004, 187]"
Michael Owen,"[96.63500000000006, 150]"
Frank Lampard,"[121.12800000000006, 177]"
Thierry Henry,"[112.11300000000008, 175]"
Jermain Defoe,"[114.96700000000006, 162]"
Robbie Fowler,"[103.57299999999998, 163]"
Les Ferdinand,"[110.578, 149]"
Dwight Yorke,"[91.152, 123]"
Jimmy Floyd Hasselbaink,"[87.37499999999999, 127]"
Nicolas Anelka,"[74.34399999999997, 125]"
Robbie Keane,"[91.96600000000001, 125]"
Steven Gerrard,"[88.92800000000001, 120]"
Robin van Persie,"[99.71399999999998, 144]"
Romelu Lukaku,"[77.77600000000005, 121]"
Mohamed Salah,"[84.146, 139]"
Jamie Vardy,"[87.03700000000005, 136]"
Teddy Sheringham,"[98.342, 146]"
Ian Wright,"[79.22300000000001, 113]"
Dion Dublin,"[86.56000000000003, 111]"
Ryan Giggs,"[70.30500000000002, 109]"
Paul Scholes,"[68.78999999999998, 106]"
Emile Heskey,"[77.696, 110]"
Peter Crouch,"[78.25199999999998, 108]"
Darren Bent,"[75.35400000000003, 106]"
Cristiano Ronaldo,"[65.82500000000002, 103]"
Didier Drogba,"[67.36399999999998, 104]"
Raheem Sterling,"[62.27800000000001, 115]"
Sadio Mané,"[74.79799999999999, 111]"
Son Heung-Min,"[60.27700000000002, 103]"
Matthew Le Tissier,"[70.241, 100]"
Gary Speed,"[53.085, 80]"
Chris Sutton,"[56.905, 83]"
Dennis Bergkamp,"[60.33900000000001, 87]"
Ole Gunnar Solskjaer,"[47.58599999999999, 89]"
Kevin Davies,"[63.858, 88]"
James Beattie,"[72.77900000000002, 91]"
Louis Saha,"[61.666000000000025, 85]"
Kevin Phillips,"[59.814000000000036, 92]"
Craig Bellamy,"[53.09099999999998, 81]"
Mark Viduka,"[63.38199999999999, 92]"
Ruud van Nistelrooij,"[60.145, 95]"
Yakubu,"[68.24400000000001, 95]"
Emmanuel Adebayor,"[57.782, 97]"
Dimitar Berbatov,"[61.85100000000003, 94]"
Carlos Tevez,"[50.415000000000035, 84]"
Fernando Torres,"[61.119000000000014, 85]"
Theo Walcott,"[50.74700000000002, 80]"
Eden Hazard,"[53.78899999999999, 85]"
Christian Benteke,"[66.10400000000001, 86]"
Olivier Giroud,"[59.477, 90]"
Riyad Mahrez,"[48.00300000000001, 82]"
Roberto Firmino,"[49.77899999999998, 82]"
Kevin Campbell,"[49.953000000000024, 83]"
Brian Deane,"[53.89800000000001, 71]"
Mark Hughes,"[40.308000000000014, 64]"
Peter Beardsley,"[40.944999999999986, 58]"
Eric Cantona,"[41.72100000000001, 70]"
Dean Holdsworth,"[41.51200000000001, 63]"
Niall Quinn,"[47.157000000000004, 59]"
Kevin Gallacher,"[37.653999999999996, 56]"
Chris Armstrong,"[52.90299999999999, 71]"
Tony Cottee,"[52.636, 78]"
Alan Smith,"[35.797, 53]"
Nick Barmby,"[35.454, 53]"
Efan Ekoku,"[33.683000000000014, 52]"
Trevor Sinclair,"[39.99, 52]"
Stan Collymore,"[45.586, 62]"
Duncan Ferguson,"[48.54699999999998, 68]"
John Hartson,"[34.39999999999999, 55]"
David Beckham,"[40.801, 62]"
Jason Euell,"[38.11500000000001, 56]"
Lee Bowyer,"[41.806, 57]"
Gianfranco Zola,"[38.018, 59]"
Paulo Wanchope,"[35.33999999999999, 50]"
Paolo Di Canio,"[47.800000000000004, 66]"
Gustavo Poyet,"[36.084, 52]"
Harry Kewell,"[35.498999999999995, 57]"
Damien Duff,"[34.009, 54]"
Kanu,"[32.341, 54]"
Gareth Barry,"[36.42999999999999, 53]"
Danny Murphy,"[39.55000000000002, 50]"
Eidur Gudjohnsen,"[31.97800000000001, 55]"
Robert Pirès,"[42.63399999999999, 62]"
Darius Vassell,"[36.464000000000006, 52]"
Kevin Nolan,"[52.444999999999986, 69]"
Carlton Cole,"[34.589, 52]"
James Milner,"[37.210999999999984, 55]"
Andrew Johnson,"[35.467000000000006, 51]"
Cesc Fàbregas,"[34.771, 50]"
Tim Cahill,"[41.99200000000001, 56]"
Gabriel Agbonlahor,"[51.202, 74]"
Dirk Kuijt,"[34.94000000000001, 51]"
Shane Long,"[38.64800000000002, 56]"
Clint Dempsey,"[37.99399999999999, 57]"
Gareth Bale,"[36.564, 53]"
Daniel Sturridge,"[42.73800000000001, 76]"
Danny Welbeck,"[40.38000000000001, 62]"
Andy Carroll,"[39.29699999999998, 54]"
Steven Fletcher,"[32.742000000000004, 53]"
Yaya Touré,"[38.414, 62]"
Chicharito,"[38.64200000000001, 53]"
David Silva,"[30.948000000000004, 60]"
Luis Suárez,"[31.532, 69]"
Edin Dzeko,"[35.129, 50]"
Juan Mata,"[38.756, 52]"
Gylfi Sigurdsson,"[50.788, 67]"
Christian Eriksen,"[40.89499999999999, 53]"
Chris Wood,"[42.548, 55]"
Diego Costa,"[37.03999999999999, 53]"
Wilfried Zaha,"[54.87799999999999, 68]"
Alexis Sánchez,"[40.29299999999999, 63]"
Danny Ings,"[49.60600000000001, 70]"
Dele Alli,"[34.1, 51]"
Callum Wilson,"[52.49599999999999, 79]"
Anthony Martial,"[37.56499999999999, 62]"
Kevin De Bruyne,"[36.696000000000005, 64]"
Joshua King,"[38.464, 53]"
Michail Antonio,"[39.42, 61]"
Marcus Rashford,"[53.008, 76]"
Gabriel Jesus,"[40.593999999999994, 69]"
Alexandre Lacazette,"[32.936, 54]"
Pierre-Emerick Aubameyang,"[46.54600000000001, 69]"
Mark Bright,"[28.893, 50]"
